tn_ved,country,country_sum_2022,period,country_sum_2021
"1604129100-Прочие готовые или консервированные продукты из сельди, находящейся целиком или в кусках, в герметичной упаковке, но не фаршированной",US-СОЕДИНЕННЫЕ ШТАТЫ,152640.0,2022,109194.13
"1604129900-Прочие готовые или консервированные продукты из сельди, целиком или в кусочках, но не фаршированные",KZ-КАЗАХСТАН,243520.0,2022,10366.16
"1604131100-Готовая или консервированная в оливковом масле сардина, целиком или в кусках, но не фаршированная",OS-ЮЖНАЯ ОСЕТИЯ,199552.0,2022,112.76
"1604131900-Прочие сардины, консервированные целиком или в кусках, но не фаршированные",KZ-КАЗАХСТАН,390592.0,2022,137175.11
"1604139000-Готовые продукты и консервы из сардинелл, кильки и шпрот целиком или в кусках, но не фаршированные",UA-УКРАИНА,750464.0,2022,598402.21
"1604141800-Прочая готовая или консервированная продукция из тунца и скипджека, целиком или в кусках, но не фаршированная",AZ-АЗЕРБАЙДЖАН,0.0,2022,0.0
"1604144800-Прочий тунец, скипджек, или тунец полосатый, и пеламида (sarda spp.)",KZ-КАЗАХСТАН,318528.0,2022,39944.24
"1604151100-Готовая или консервированная продукция из филе скумбрии вида scomber scombrus и scomber japonicus целиком или в кусках, но не фаршированная",AM-АРМЕНИЯ,196800.0,2022,5130.56
"1604151900-Прочая готовая или консервированна продукция из скумбрии вида scomber scomberus и somber japonicus целиком или в кусках, но не фаршированная",KZ-КАЗАХСТАН,425664.0,2022,117401.42
"1604159000-Готовые продукты и консервы из скумбрии вида scomber australasicus целиком или в кусках, кроме фаршированной",GR-ГРЕЦИЯ,16896.0,2022,2416.32
"1604160000-Готовые продукты и консервы из анчоусов целиком или в кусках, но не фаршированных",KZ-КАЗАХСТАН,312768.0,2022,15172.82
"1604191000-Готовые продукты и консервы из лососевых рыб, кроме лосося, целиком или в кусках, но не фаршированные",US-СОЕДИНЕННЫЕ ШТАТЫ,83904.0,2022,52230.08
"1604199200-Готовая или консервированная продукция из трески (gadus morhua, gadus ogac, gadus macrocephalus), целиком или в кусках, но не фаршированная",BY-БЕЛАРУСЬ,203072.0,2022,60058.54
"1604199780-Прочая рыба целиком или в кусках, но нефаршированная",US-СОЕДИНЕННЫЕ ШТАТЫ,203456.0,2022,128872.0
"1604199790-Прочая, рыба прочая, целиком или в кусках, но нефаршированная",KG-КЫРГЫЗСТАН,0.0,2022,0.0
1604200500-Готовые или консервированные продукты из сурими,AM-АРМЕНИЯ,95616.0,2022,111232.02
1604201000-Готовые изделия и консервы из лосося,UA-УКРАИНА,107008.0,2022,2613.94
"1604203000-Готовая или консервированная продукция из лососевых, кроме лосося",UA-УКРАИНА,29184.0,2022,19299.4
"1604205000-Прочая готовая или консервированная продукция из скумбрий видов scomber scombrus, scomber japonicus, рыбы вида orcynopsis unicolor, а также из сардин и пиламиды",KZ-КАЗАХСТАН,353728.0,2022,122089.17
"1604207000-Готовая или консервированная продукция из тунца, скипджека или другой рыбы рода euthynnus",BY-БЕЛАРУСЬ,148416.0,2022,98566.72
1604209090-Готовая или консервированная продукция из прочей рыбы,BY-БЕЛАРУСЬ,308224.0,2022,397736.36
1604320010-Заменители икры осетровых: икра лососевых (красная икра),CH-ШВЕЙЦАРИЯ,1090368.0,2022,1069797.05
1604320090-Прочие заменители икры осетровых,AM-АРМЕНИЯ,131520.0,2022,177533.64
"1605290000-Прочие креветки и пильчатые креветки, готовые или консервированные","MD-МОЛДОВА, РЕСПУБЛИКА",152640.0,2022,14831.49
"1605400009-Готовые или консервированные прочие ракообразные, прочие",BY-БЕЛАРУСЬ,95488.0,2022,8630.7
1605531000-Мидии в герметичных упаковках,KZ-КАЗАХСТАН,273792.0,2022,137932.71
1605540000-Каракатицы и кальмары готовые или консервированные,KZ-КАЗАХСТАН,263488.0,2022,43063.05
1605550000-Осьминоги готовые или консервированные,KZ-КАЗАХСТАН,265984.0,2022,5453.79
"1602100090-Прочие гомогенизированные готовые продукты питания из мяса, мясных субпродуктов или крови",KZ-КАЗАХСТАН,251776.0,2022,1258.42
1604310000-Икра осетровых,BY-БЕЛАРУСЬ,153280.0,2022,56482.45
1605100000-Готовые или консервированные крабы,BY-БЕЛАРУСЬ,158976.0,2022,35943.37
1605590000-Прочие моллюски готовые или консервированные,"MD-МОЛДОВА, РЕСПУБЛИКА",71936.0,2022,66458.8
"1605690000-Прочие водные беспозвоночные, готовые или консервированные",IL-ИЗРАИЛЬ,92032.0,2022,9088.8
"1602311100-Готовые или консервированные продукты из мяса индейки товарной позиции 0105, содержащие 57 мас. % или более мяса или субпродуктов",KZ-КАЗАХСТАН,337408.0,2022,3084.39
"1602313000-Готовые изделия и консервы из мяса индейки, содержащие 25 мас.% или более, но менее 57 мас.% мяса домашней птицы или субпродуктов",AZ-АЗЕРБАЙДЖАН,0.0,2022,0.0
1602319000-Прочие готовые изделия и консервы из мяса индейки,BY-БЕЛАРУСЬ,107776.0,2022,0.0
"1602392100-Прочие готовые или консервированные продукты из домашней птицы, товарной позиции 0105, содержащие 57 мас.% или более сырого мяса домашней птицы или субпродуктов",UA-УКРАИНА,190720.0,2022,2778.38
1602419000-Прочие готовые изделия и консервы из окороков и их отрубов домашней свиньи,AM-АРМЕНИЯ,108928.0,2022,0.0
